,forward_RE,forward_FC,UP,DW,production_RE,production_FC,Offshore DK2,Offshore DK1,Onshore DK2,Onshore DK1
8887,34.21,-9.984371242255698,34.21,26.5,0.7794117647058824,0.9441186926631872,0.1389793702497285,0.5751295336787565,0.3950617283950617,0.2805157593123209
8888,35.75,40.170594132919696,35.75,26.5,0.6225490196078431,1.0,0.1509229098805646,0.7184801381692574,0.3790123456790123,0.2945558739255014
8889,32.52,48.86523446604521,32.52,27.2,0.5784313725490197,0.5989835453310522,0.1378935939196525,0.6528497409326425,0.362962962962963,0.3401146131805158
8890,32.01,36.46317716650564,32.01,26.79,0.6274509803921569,0.428268230524263,0.1237785016286645,0.7409326424870466,0.3382716049382716,0.3610315186246418
8891,31.23,31.015668684122275,31.23,26.79,0.6470588235294118,0.4260149454743075,0.1357220412595005,0.7512953367875648,0.337037037037037,0.3825214899713467
8892,31.19,27.188727550434024,31.19,27.0,0.6078431372549019,0.4255719745582633,0.1216069489685124,0.7176165803108808,0.328395061728395,0.4074498567335243
8893,31.08,18.24412025635073,31.08,27.0,0.392156862745098,0.3490875993856066,0.1085776330076004,0.7115716753022453,0.3012345679012346,0.4171919770773639
8894,31.21,28.24802299460679,31.21,27.5,0.3676470588235294,0.3301051145258656,0.0944625407166123,0.727979274611399,0.2604938271604938,0.4312320916905444
8895,31.3,36.696528350268,31.3,27.5,0.3039215686274509,0.1108381670144319,0.0825190010857763,0.7927461139896373,0.2444444444444444,0.4550143266475644
8896,33.58,39.59264717850778,33.58,27.5,0.2794117647058823,0.7003073460806859,0.0792616720955483,0.8566493955094991,0.2358024691358024,0.4822349570200573
8897,34.05,31.75273678530696,34.05,34.05,0.3186274509803921,0.2577168753845389,0.0857763300760043,0.8877374784110535,0.228395061728395,0.5005730659025788
8898,31.31,31.559234966373708,31.31,31.31,0.4754901960784313,0.4545749308840426,0.0966340933767643,0.9127806563039724,0.237037037037037,0.5189111747851003
8899,30.95,32.900588863350585,30.95,27.0,0.4411764705882353,0.4819706915472006,0.1096634093376764,0.9309153713298792,0.2518518518518518,0.5083094555873926
8900,30.58,1.8191321384834505,30.58,26.0,0.4705882352941176,0.1894141248486184,0.1194353963083604,0.9369602763385146,0.2753086419753086,0.5114613180515759
8901,30.28,31.304916067475936,30.28,26.0,0.4558823529411764,0.3638930768513486,0.1237785016286645,0.9309153713298792,0.2864197530864197,0.5140401146131806
